Name	Latitude	Longitude	Altitude	Description
MBBY	16.6976833	-62.20255	161	Broderick's Yard, Montserrat (MBBY.)
MBFR	16.693	-62.178	541	Fergus Ridge, Montserrat (MBFR.)
MBGB	16.7320667	-62.2277667	253	Garibaldi Hill, Montserrat (MBGB.)
MBGH	16.7225667	-62.2086333	350	St. Georges Hill, Montserrat (MBGH.)
MBHA	16.74201	-62.16822	250.0	Harris, Montserrat (MBHA.)
MBLG	16.725	-62.16225	287	Long Ground, Montserrat (MBLG.)
MBLY	16.7213333	-62.191	355	Lee's Yard, Montserrat (MBLY.)
MBRY	16.7039	-62.1531667	355	Roches Yard, Montserrat (MBRY.)
MBWH	16.7421833	-62.1909333	407	Windy Hill, Montserrat (MBWH.)
MBWW	16.738383	-62.212050	152.0	Waterworks, Montserrat (MBWW.)
