# Seismic Stations - locations
# Code,    Lat,            Long,     Elev, Primary,   Date, Source
TBH,   10.4840,        -61.0670,      199,   y,           , LL spreadsheet
TPP,   10.3170,        -61.4510,       46,   y,           , LL spreadsheet
TCE,   10.6970,        -61.7530,      240,   y,           , LL spreadsheet
BOT,   11.1660,        -60.7180,       30,   y,           , LL spreadsheet
TPR,   11.1860,        -60.7770,      245,   y,           , LL spreadsheet
TRN,   10.6480,        -61.4030,       24,   y,           , LL spreadsheet
TPTC,  10.6800,        -61.5700,        5,   y,           , LL spreadsheet
TWMO,  10.6700,        -61.5600,        5,   n,           , LL spreadsheet
TTBR,  10.8600,        -61.9400,        9,   y,           , LL spreadsheet
BUAY,  10.1072,        -61.6862,        0,   n,           , LL spreadsheet
SIPA,  10.1429,        -61.5060,       25,   y,           , LL spreadsheet
ALNG,  10.1814,        -61.6883,       10,   y,           , LL spreadsheet
GRW,   12.1600,        -61.6610,      762,   y,           , LL spreadsheet
GRCU,  12.4770,        -61.6530,      240,   n,           , LL spreadsheet
GRSS,  12.2985,        -61.6120,       20,   n,           , LL spreadsheet
GRHS,  12.2985,        -61.6120,       20,   n,           , LL spreadsheet
BBSP,  13.1045,        -59.4579,       35,   y,           , LL spreadsheet
FCV,   13.1570,        -61.2450,      194,   y,           , LL spreadsheet
SVV,   13.3180,        -61.2160,      243,   n,           , LL spreadsheet
SSV,   13.3270,        -61.1930,      824,   y,           , LL spreadsheet
BHS,   13.2960,        -61.1270,       90,   n,           , LL spreadsheet
SFAN,  13.3838,        -61.1721,       23,   n,           , LL spreadsheet
SVB,   13.2720,        -61.2520,      282,   n,           , LL spreadsheet
SLW,   14.0200,        -60.9360,      366,   y,           , LL spreadsheet
SLDE,  13.8031,        -61.0583,      246,   n,           , LL spreadsheet
SLPE,  13.8431,        -60.9952,      460,   y,           , LL spreadsheet
SLTA,  13.8704,        -61.0399,      550,   y,           , LL spreadsheet
SLPA,  13.8537,        -60.9190,      183,   y,           , LL spreadsheet
SLB,   13.8258,        -61.0408,      600,   n,           , LL spreadsheet
MCLT,  13.7096,        -60.9412,      220,   n,           , LL spreadsheet
DBCT,  15.2708,        -61.3456,      527,   n,           , LL spreadsheet
DFBT,  15.2402,        -61.3559,       83,   y,           , LL spreadsheet
DLVT,  15.4365,        -61.3496,      274,   y,           , LL spreadsheet
DPMT,  15.2609,        -61.3770,       50,   y,           , LL spreadsheet
DSHT,  15.2136,        -61.3737,      134,   y,           , LL spreadsheet
DSTT,  15.2467,        -61.3035,      120,   y,           , LL spreadsheet
DVDT,  15.3105,        -61.3134,      960,   n,           , LL spreadsheet
BBL,   15.5262,        -61.4699,      265,   n,           , LL spreadsheet
MDN,   15.3185,        -61.3923,       99,   y,           , LL spreadsheet
