# Seismic Stations - names
# Code, Name
TBH,   Brigand Hill, Trinidad
TPP,   Point-a-Pierre, Trinidad
TCE,   Chacachacare, Trinidad
BOT,   Bacolet, Tobago
TPR,   Prospect, Tobago
TRN,   St. Augustine, Trinidad
TPTC,  Point Cumana, Trinidad
TWMO,  Westmoorings, Trinidad
TTBR,  Toco, Trinidad
BUAY,  Buenos Ayres, Trinidad
SIPA,  Siparia, Trinidad
ALNG,  Point Fortin, Trinidad
GRW,   Mt. St. Catherine, Grenada
GCMP,  Mt. Pleasant, Carriacou, Grenada
GRCU,  Carriacou, Grenada
GRSS,  Sisters, Grenada
GRHS,  Sauteurs, Grenada
BBSP,  St. Philip, Barbados
FCV,   Fort Charlotte, St. Vincent
SVV,   Wallibou, St. Vincent
SSV,   Summit, St. Vincent
BHS,   Orange Hill, St. Vincent
SFAN,  Fancy, St. Vincent
SVB,   Belmont, St. Vincent
SLW,   Petit Monier, St. Lucia
SLDE,  Delcer, St. Lucia
SLPE,  Piton St. Espirit, St. Lucia
SLTA,  Morne Tabac, St. Lucia
SLPA,  Patience, St. Lucia
SLB,   Belfond, St. Lucia
DSLB,  Salisbury, Dominica
DBCT,  Belle-Vue Chopin, Dominica
DFBT,  Forest Bistro, Dominica
DLVT,  Layou Valley, Dominica
DPMT,  Pointe Michel, Dominica
DSHT,  Scott’s Head, Dominica
DSTT,  Stowe, Dominica
DVDT,  Morne Nicholl, Dominica
MDN,   Morne Daniel, Dominica
BBL,   Barbers Block (Morne Espagnol), Dominica
DWS,   Wesley, Dominica
ANG,   Friars Hill, Antigua
CPB,   Codrington, Barbuda
MJHT,  Jack Boy Hill, Montserrat
MRYT,  Roaches Yard, Montserrat
NEV,   Gingerland, Nevis
BPA,   Boggy Peak, Antigua
SKI,   Bayford’s Farm, St. Kitts
STMA,  Philipsburg, St. Maarten
SABT,  St. Johns, Saba, NA
STAT,  Oranjestad, St. Eustatius, NA
SJG,   San Juan, Puerto Rico, USA
BBGH,  Gun Hill, Barbados
SDV,   Santo Domingo, Venezuela
TGUH,  Tegucigalpa, Honduras
BCIP,  Isla Barro Colorado, Panama
TEIG,  Tepich, Yucatan, Mexico
SDDR,  Presa de Sabaneta, Dominican Republic
BBSR,  Bermuda Biological Station for Research, St. Georges, Bermuda
DWPF,  Disney Wilderness Preserve, Florida, USA
HKT,   Hockley, Texas, USA
GRGR,  Grenville, Grenada
MTOB,  Temporary, Tobago
SPEY,  Speyside, Tobago
ABG,   Abri du Galion, Guadeloupe
ABV,   Anegada, Virgin Is.
AECU,  Anegada, Virgin Is.
AGP,   Aguadilla, Puerto Rico, USA
ANCC,  Atlantic Liquified Natural Gas, Trinidad
ANGV,  Angostura, Venezuela
ANVI,  Anegada, Virgin Is.
APR,   Arecibo, Puerto Rico, USA
ATB,   Para, Brazil 
B5GA,  Glenshane Apts., Barbados
