,"Code","Location","Latitude","Longitude","Alt(km)","Type","Node","Remarks"
,,,,,,,,
1,"TBH","Trinidad, Brigand Hill",10.4840,-61.0670,0.199,"SP V","TRN",1982
2,"TPP","Trinidad, Point-a-Pierre",10.3170,-61.4510,0.046,"SP V","TRN",1965
3,"TCE","Trinidad, Chacachacare",10.6970,-61.7530,0.240,"SP V","TRN",1979
4,"BOT","Tobago, Bacolet",11.1660,-60.7180,0.030,"SP V","TRN",1982
5,"TPR","Tobago, Prospect",11.1860,-60.7770,0.245,"SP V","TRN",1982
6,"TRN*","Trinidad, St. Augustine",10.6480,-61.4030,0.024,"BB 3D, K2 3D VSP V, VLP V","TRN HUB","1952 (moved 1957, re-equipped 1963, 1975 ,1979 and 2000)"
7,"TPTC","Trinidad, Point Cumana",10.6800,-61.5700,0.005,"K2 3D","Accelerograph",2000
8,"TWMO","Trinidad, Westmoorings",10.6700,-61.5600,0.005,"K2 3D","Accelerograph",2000
9,"TTBR","Trinidad, Toco",10.8600,-16.9400,0.009,"K2 3D","Accelerograph",2001
7,"BUAY","Trinidad, Buenos Ayres",10.1072,61.6862,0.000,"SP V","ALNG","2000. Funded by Atlantic LNG"
8,"SIPA","Trinidad, Siparia",10.1429,-61.5060,0.025,"SP V","ALNG","2000, Funded by Atlantic LNG"
9,"ALNG","Trinidad, Point Fortin",10.1814,-61.6883,0.010,"BB 3D,  K2 3D","ALNG HUB","2000, Funded by Atlantic LNG"
10,"GRW","Grenada, Mt. St. Catherine",12.1600,-61.6610,0.762,"SP V","TRN",1977
11,"GRCU","Grenada, Carriacou",12.4770,-61.6530,0.240,"SP V","GRHS",2001
13,"GRSS","Grenada, Sisters",12.2985,-61.6120,0.020,"SP V","GRHS",2001
14,"GRHS","Grenada, Sauteurs",12.2985,-61.6120,0.020,"SP V","GRHS HUB","2001, Kick em Jenny Volcano Minitor."
15,"BBSP","Barbados, St. Philip",13.1045,-59.4579,0.035,"BB 3D","B5GA HUB","1953 (moved/re-equipped 1999) "
16,"FCV","St. Vincent, Fort Charlotte",13.1570,-61.2450,0.194,"SP V","SVB","1952 (Moved 1980)"
